 ; ; ;Dokončana stanovanja - SKUPAJ; ; ; ; ; 
 ; ; ;2008;2009;2010;2011;2012;2013
Investitor - SKUPAJ;;;;;;;;
 ;Število;;;;;;;
 ; ;SLOVENIJA;9968;8530;6355;5498;4307;3484
 ; ;Pomurska;406;319;317;271;234;227
 ; ;Podravska;2017;1408;905;987;909;547
 ; ;Koroška;149;312;209;87;81;103
 ; ;Savinjska;749;770;981;856;597;687
 ; ;Zasavska;28;47;33;68;21;39
 ; ;Spodnjeposavska;256;143;193;164;129;118
 ; ;Jugovzhodna Slovenija;597;284;346;256;261;227
 ; ;Osrednjeslovenska;3092;2580;1782;1542;761;606
 ; ;Gorenjska;1023;1025;693;493;367;460
 ; ;Notranjsko-kraška;359;183;173;185;120;108
 ; ;Goriška;514;666;387;241;291;188
 ; ;Obalno-kraška;778;793;336;348;536;174
